Product Name,Category Name,Forecast Date,Actual Demand,Moving Average Prediction,Weighted Moving Average Prediction,Linear Regression Prediction,Best Model,Final Predicted Demand,MAE,RMSE,MAPE,R2 Score,Demand Trend,Forecast Risk Level
Adult dog supplies,Pet Supplies,2018-01-09,68,56.142857142857146,55.107142857142854,52.0,Moving Average,56.142857142857146,19.142857142857142,20.482446441890136,51.345215505557064,-0.22580164279005976,Declining Demand,MEDIUM
Adult dog supplies,Pet Supplies,2018-01-10,31,57.42857142857143,58.07142857142857,58.964285714285715,Moving Average,57.42857142857143,19.142857142857142,20.482446441890136,51.345215505557064,-0.22580164279005976,Declining Demand,MEDIUM
Baby sweater,Baby,2017-12-19,6,50.25,52.2,60.0,Moving Average,50.25,44.25,44.25,737.5,0.0,Declining Demand,HIGH
Bag Boy Beverage Holder,Golf Gloves,2016-11-12,3,3.2857142857142856,3.75,3.133740191804708,Linear Regression,3.133740191804708,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2016-11-16,2,3.142857142857143,3.6785714285714284,3.1254096946696572,Linear Regression,3.1254096946696572,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2016-11-18,5,3.2857142857142856,3.392857142857143,3.0959722380248036,Linear Regression,3.0959722380248036,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2016-11-19,5,3.5714285714285716,3.8214285714285716,3.1305865135652367,Linear Regression,3.1305865135652367,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2016-11-21,4,4.142857142857143,4.178571428571429,3.164578111946533,Linear Regression,3.164578111946533,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2016-11-23,3,4.428571428571429,4.142857142857143,3.1770184623863322,Linear Regression,3.1770184623863322,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2016-12-04,6,3.7142857142857144,3.7857142857142856,3.168411867364747,Linear Regression,3.168411867364747,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2016-12-06,1,4.0,4.357142857142857,3.222150259067357,Linear Regression,3.222150259067357,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2016-12-10,4,3.7142857142857144,3.607142857142857,3.1718391111585924,Linear Regression,3.1718391111585924,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2016-12-11,5,4.0,3.6785714285714284,3.1839809674861224,Linear Regression,3.1839809674861224,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2016-12-12,2,4.0,3.9285714285714284,3.2163265306122444,Linear Regression,3.2163265306122444,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2016-12-17,12,3.5714285714285716,3.4285714285714284,3.1871956904589247,Linear Regression,3.1871956904589247,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2016-12-18,8,4.714285714285714,5.535714285714286,3.3606111880223555,Linear Regression,3.3606111880223555,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2016-12-20,2,5.428571428571429,6.357142857142857,3.450586264656616,Linear Regression,3.450586264656616,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2016-12-27,3,4.857142857142857,5.5,3.418994974874372,Linear Regression,3.418994974874372,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2016-12-30,4,5.142857142857143,5.035714285714286,3.4078606965174125,Linear Regression,3.4078606965174125,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-01-02,2,5.142857142857143,4.75,3.4167282399881778,Linear Regression,3.4167282399881778,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-01-04,5,4.714285714285714,3.9642857142857144,3.386041067160903,Linear Regression,3.386041067160903,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-01-21,4,5.142857142857143,4.035714285714286,3.4147107118709554,Linear Regression,3.4147107118709554,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-02-04,8,4.0,3.75,3.4233859397417503,Linear Regression,3.4233859397417503,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-02-06,1,4.0,4.75,3.5095903386218326,Linear Regression,3.5095903386218326,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-02-13,3,3.857142857142857,4.0,3.459077904413489,Linear Regression,3.459077904413489,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-02-17,2,3.857142857142857,3.7857142857142856,3.4478818283166106,Linear Regression,3.4478818283166106,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-02-20,3,3.5714285714285716,3.3214285714285716,3.417740154582259,Linear Regression,3.417740154582259,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-02-21,1,3.7142857142857144,3.1785714285714284,3.4071542492595124,Linear Regression,3.4071542492595124,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-02-22,10,3.142857142857143,2.5,3.3588354773188898,Linear Regression,3.3588354773188898,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-02-23,1,4.0,4.214285714285714,3.4811320754716983,Linear Regression,3.4811320754716983,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-02-25,1,3.0,3.4642857142857144,3.4324120825582427,Linear Regression,3.4324120825582427,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-03-01,5,3.0,2.9642857142857144,3.3844938791628274,Linear Regression,3.3844938791628274,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-03-11,1,3.2857142857142856,3.4642857142857144,3.411780047815692,Linear Regression,3.411780047815692,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-03-13,1,3.142857142857143,2.892857142857143,3.3645564168819986,Linear Regression,3.3645564168819986,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-03-14,2,2.857142857142857,2.357142857142857,3.3181003584229387,Linear Regression,3.3181003584229387,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-03-16,1,3.0,2.142857142857143,3.2907453599966177,Linear Regression,3.2907453599966177,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-03-17,4,1.7142857142857142,1.6428571428571428,3.2455699384190018,Linear Regression,3.2455699384190018,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-03-20,5,2.142857142857143,2.2142857142857144,3.2556662515566623,Linear Regression,3.2556662515566623,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-03-28,2,2.7142857142857144,2.9285714285714284,3.2837104072398198,Linear Regression,3.2837104072398198,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-03-29,3,2.2857142857142856,2.75,3.257266316089845,Linear Regression,3.257266316089845,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-03-30,5,2.5714285714285716,2.9285714285714284,3.2491819173433525,Linear Regression,3.2491819173433525,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-03-31,4,3.142857142857143,3.5357142857142856,3.2769458680333123,Linear Regression,3.2769458680333123,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-04-01,2,3.4285714285714284,3.75,3.286507936507937,Linear Regression,3.286507936507937,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-04-03,6,3.5714285714285716,3.392857142857143,3.2605309734513273,Linear Regression,3.2605309734513273,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-04-04,4,3.857142857142857,4.0,3.305446181435422,Linear Regression,3.305446181435422,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
Bag Boy Beverage Holder,Golf Gloves,2017-04-06,2,3.7142857142857144,4.035714285714286,3.314591544941649,Linear Regression,3.314591544941649,1.8508744820866048,2.4442812565754433,44.89810206300588,-0.03381595585872388,Stable Demand,MEDIUM
